rater_id,left_comment_id,right_comment_id,usage
0,4476405,379307761,Private
0,34922573,220819130,Private
0,437106441,202854670,Private
0,243981155,226519869,Private
0,437106441,434768837,Private
0,439425791,255525242,Private
0,427330290,255525242,Private
0,243981155,204504660,Private
0,272615562,180912119,Private
0,272615562,399876417,Private
0,272615562,101219253,Private
0,34922573,290988789,Private
0,272615562,379307761,Private
0,477959835,432860400,Private
0,477959835,132358657,Private
0,243981155,125536815,Private
0,243981155,203642533,Private
0,477959835,118294275,Private
0,477959835,356201349,Private
0,477959835,107625486,Private
0,293612988,169974098,Private
0,293612988,66142707,Private
0,91198133,229344794,Private
0,272615562,315591556,Private
0,40365045,207108959,Private
0,323751958,255525242,Private
0,34922573,359085781,Private
0,96692361,371750718,Private
0,74179746,371750718,Private
0,220819130,371750718,Private
0,416408603,160015779,Private
0,385956015,359850497,Private
0,416408603,293612988,Private
0,385956015,341147638,Private
0,385956015,394738745,Private
0,207108959,51644859,Private
0,385956015,144707579,Private
0,385956015,323603684,Private
0,207108959,282502419,Private
0,160015779,301173774,Private
0,160015779,464228480,Private
0,160015779,66142707,Private
0,160015779,169974098,Private
0,207108959,371750718,Private
0,255525242,22306219,Private
0,437106441,293612988,Private
0,437106441,269474859,Private
0,96692361,34922573,Private
0,74179746,34922573,Private
0,277995063,207108959,Private
0,400117587,229344794,Private
0,378838928,323603684,Private
0,243981155,294242762,Private
0,378838928,394738745,Private
0,4476405,180912119,Private
0,4476405,399876417,Private
0,4476405,101219253,Private
0,229344794,208362309,Private
0,378838928,144707579,Private
0,293612988,464228480,Private
0,229344794,29704600,Private
0,468765964,169974098,Private
0,468765964,66142707,Private
0,468765964,464228480,Private
0,468765964,301173774,Private
0,293612988,301173774,Private
0,371750718,359085781,Private
0,371750718,290988789,Private
0,229344794,93056141,Private
0,378838928,341147638,Private
0,378838928,359850497,Private
1,422213608,151496724,Private
1,422213608,134499208,Private
1,422213608,286008263,Private
2,320252393,22306219,Private
2,427330290,320252393,Private
2,439425791,320252393,Private
2,323751958,320252393,Private
2,320252393,207108959,Private
3,197636986,249470531,Private
3,197636986,34922573,Private
3,197636986,352523718,Private
3,197636986,194287753,Private
3,39272255,217622897,Private
3,93056141,269669076,Private
3,91198133,269669076,Private
3,197636986,4476405,Private
3,400117587,269669076,Private
3,290988789,203642533,Private
3,159312076,477959835,Private
3,208362309,269669076,Private
3,29704600,269669076,Private
3,464228480,217622897,Private
3,359850497,180912119,Private
3,94395682,416315021,Private
3,201561143,74080876,Private
3,503006576,477959835,Private
3,114422196,477959835,Private
3,272534723,464228480,Private
3,207570642,219825973,Private
3,201561143,388266687,Private
3,294242762,290988789,Private
3,188716181,201561143,Private
3,464228480,410164358,Private
3,125536815,290988789,Private
3,226519869,290988789,Private
3,201561143,431864939,Private
3,464228480,19895946,Private
3,205649852,217622897,Private
3,82434756,410164358,Private
3,87547160,201561143,Private
3,82434756,217622897,Private
3,477959835,400526160,Private
3,147890919,207570642,Private
3,226519869,290988789,Public
3,110265934,207570642,Private
3,467135980,298849883,Private
3,433063570,207570642,Private
3,266052320,207570642,Private
3,399876417,359850497,Private
3,298849883,201688444,Private
3,298849883,277158268,Private
3,101219253,359850497,Private
3,379307761,359850497,Private
3,82434756,19895946,Private
3,217622897,255525242,Private
